s.name,count(r)
Semipalmated Sandpiper,2
Snowy Egret,1
Seaside Sparrow,2
Wilson's Plover,3
Swainson's Warbler,2
White Ibis,1
Blue-winged Teal,1
Sedge Wren,2
Field Sparrow,3
Upland Sandpiper,1
Ring-necked Duck,1
Lesser Yellowlegs,2
Glossy Ibis,1
Gadwall,1
Black-crowned Night-Heron,1
Brown-headed Nuthatch,2
Whimbrel,2
Bald Eagle,3
Horned Grebe,1
Bonaparte's Gull,1
King Rail,1
Pied-billed Grebe,1
Chuck-will's-widow,2
Red-throated Loon,1
Northern Flicker,3
Bufflehead,1
Mourning Dove,2
Northern Bobwhite,3
Henslow's Sparrow,3
Brown Thrasher,3
Common Goldeneye,1
Redhead,1
Grasshopper Sparrow,2
Killdeer,1
Greater Yellowlegs,2
Hooded Warbler,3
Bachman's Warbler,2
Willet,2
Prairie Warbler,3
Pectoral Sandpiper,1
Prothonotary Warbler,2
Black Rail,2
Swamp Sparrow,2
Common Tern,1
Solitary Sandpiper,1
Kentucky Warbler,2
Sandwich Tern,1
Forster's Tern,1
Kirtland's Warbler,3
Snow Goose,1
American Bittern,1
Northern Pintail,1
Wood Stork,1
Brown Pelican,1
Sanderling,2
Reddish Egret,1
White-winged Scoter,1
Canada Goose,1
Black-throated Green Warbler,2
Ruddy Turnstone,2
Ovenbird,2
Marsh Wren,2
Double-crested Cormorant,1
Black-bellied Plover,1
Caspian Tern,1
Eastern Towhee,3
Red-headed Woodpecker,2
Cattle Egret,1
Northern Parula,2
Green Heron,1
Red-cockaded Woodpecker,2
Yellow-crowned Night-Heron,1
Northern Harrier,2
Northern Gannet,1
Ivory-billed Woodpecker,2
Black-throated Blue Warbler,3
Peregrine Falcon,2
Mississippi Kite,2
Blackpoll Warbler,2
Chimney Swift,2
Red Knot,2
Indigo Bunting,3
Pine Warbler,3
Cerulean Warbler,4
Least Sandpiper,1
Short-eared Owl,2
White-throated Sparrow,3
Black Skimmer,2
Green-winged Teal,1
Greater Scaup,1
Little Blue Heron,1
Gull-billed Tern,1
Tundra Swan,1
Bobolink,2
Summer Tanager,2
Barn Owl,2
Yellow Rail,1
Cooper's Hawk,2
Virginia Rail,1
Least Tern,1
Stilt Sandpiper,1
Royal Tern,1
American Black Duck,1
Vesper Sparrow,2
Canvasback,1
Rusty Blackbird,3
Wild Turkey,3
Black Vulture,2
Eastern Meadowlark,2
Brant,1
American Avocet,1
Spotted Sandpiper,1
American Coot,1
Short-billed Dowitcher,1
Wood Duck,1
Herring Gull,2
Least Bittern,1
Great Blue Heron,1
Western Sandpiper,1
LeConte's Sparrow,1
Great Egret,1
Wilson's Snipe,1
Yellow-throated Vireo,2
Acadian Flycatcher,2
White-eyed Vireo,3
American Kestrel,2
Nelson's Sparrow,2
Worm-eating Warbler,2
Dunlin,2
Eastern Wood-Pewee,2
Black Scoter,1
Louisiana Waterthrush,2
Great Black-backed Gull,2
Red-shouldered Hawk,2
Bachman's Sparrow,2
American Woodcock,3
Lesser Scaup,1
Saltmarsh Sparrow,2
Northern Shoveler,1
Marbled Godwit,2
American Oystercatcher,3
Piping Plover,3
Laughing Gull,2
Roseate Tern,1
Semipalmated Plover,1
Swallow-tailed Kite,2
Connecticut Warbler,2
Sora,1
Orchard Oriole,2
Eastern Kingbird,3
Yellow-billed Cuckoo,3
Wood Thrush,3
Common Loon,1
Cape May Warbler,2
American Wigeon,1
Clapper Rail,1
Painted Bunting,2
Loggerhead Shrike,3
Tricolored Heron,1
Savannah Sparrow,2
Ruffed Grouse,3
Eastern Phoebe,1
Pileated Woodpecker,1
Blue-gray Gnatcatcher,1
Blue Jay,1
Clay-colored Sparrow,1
Pine Siskin,1
Red-winged Blackbird,1
Purple Finch,1
Canada Warbler,2
Bewick's Wren,2
Sharp-shinned Hawk,1
Common Raven,1
Barred Owl,1
Orange-crowned Warbler,1
American Robin,1
Yellow-bellied Sapsucker,2
Northern Saw-whet Owl,1
Northern Cardinal,1
Song Sparrow,1
Hermit Thrush,2
Osprey,1
Downy Woodpecker,1
Golden-crowned Kinglet,1
Eastern Whip-poor-will,2
Chestnut-sided Warbler,2
Red-eyed Vireo,1
Baltimore Oriole,1
Common Grackle,1
Evening Grosbeak,1
Black-and-white Warbler,2
Black-billed Cuckoo,2
Golden-winged Warbler,2
White-crowned Sparrow,1
Blue-winged Warbler,2
Tree Swallow,1
Fox Sparrow,1
Bay-breasted Warbler,1
American Redstart,2
Eastern Bluebird,1
Red-tailed Hawk,1
Brewer's Blackbird,1
Tennessee Warbler,1
Turkey Vulture,1
European Starling,1
Tufted Titmouse,1
Blackburnian Warbler,1
American Crow,2
Philadelphia Vireo,1
Scarlet Tanager,2
Barn Swallow,1
Bank Swallow,1
Yellow-breasted Chat,2
Magnolia Warbler,2
Yellow-rumped Warbler,1
Common Yellowthroat,1
Blue-headed Vireo,1
Least Flycatcher,1
Broad-winged Hawk,1
Horned Lark,1
Palm Warbler,1
Golden Eagle,1
Red-breasted Nuthatch,1
Carolina Wren,1
Northern Mockingbird,1
Brown-headed Cowbird,2
American Pipit,1
Cedar Waxwing,1
Ruby-crowned Kinglet,1
Olive-sided Flycatcher,2
Eastern Screech-Owl,1
Lincoln's Sparrow,1
House Wren,1
Boat-tailed Grackle,1
Brown Creeper,1
Dark-eyed Junco,2
Veery,2
Swainson's Thrush,1
Merlin,1
Alder Flycatcher,2
Belted Kingfisher,1
Red-bellied Woodpecker,1
Lark Sparrow,1
Red Crossbill,1
Fish Crow,2
Cliff Swallow,1
Blue Grosbeak,1
Nashville Warbler,2
Chipping Sparrow,1
Black-capped Chickadee,2
Great Horned Owl,1
Yellow Warbler,1
Dickcissel,1
Gray Catbird,2
Hairy Woodpecker,1
Warbling Vireo,1
American Goldfinch,1
Northern Waterthrush,1
White-breasted Nuthatch,1
Rose-breasted Grosbeak,2
Rufous Hummingbird,1
Carolina Chickadee,1
Common Nighthawk,1
Willow Flycatcher,2
Purple Martin,1
Ruby-throated Hummingbird,1
Gray-cheeked Thrush,1
Winter Wren,1
Red-necked Phalarope,1
Purple Sandpiper,1